,distance,consume,speed,temp_inside,temp_outside,gas_type,refill liters,refill gas,AC,rain,snow,sun,distance_miles,consumed_per_100m,MPG,consumption_rate
36,20.0,5.2,37,21.5,4,E10,,,0,0,0,0,12.42742,1.3736944000000002,9.04671373778622,26.0
37,4.9,7.4,26,21.5,6,E10,,,0,0,0,0,3.0447179,1.9548728000000002,1.5575017975594114,151.0204081632653
38,11.8,4.8,23,21.5,9,E10,,,0,0,0,0,7.3321778,1.2680256,5.782357864068359,40.67796610169491
39,12.3,6.5,58,21.5,7,E10,,,0,0,0,0,7.6428633,1.7171180000000001,4.45098315899082,52.84552845528455
40,12.4,4.0,55,21.5,7,E10,,,1,1,0,0,7.7050004,1.056688,7.2916512726556935,32.25806451612903
41,4.5,5.0,29,21.5,7,E10,,,1,0,0,0,2.7961695,1.3208600000000001,2.1169310146419753,111.11111111111111
42,11.7,4.6,37,21.5,6,E10,,,0,0,0,0,7.2700407,1.2151912,5.982631128336018,39.31623931623932
43,10.2,4.3,44,21.5,7,E10,,,0,0,0,0,6.337984199999999,1.1359396,5.579508100606757,42.15686274509804
44,5.4,3.3,32,21.5,7,SP98,37.6,SP98,0,0,0,0,3.3554034,0.8717676,3.848965481167229,61.11111111111111
45,2.0,9.9,21,21.5,4,SP98,,,0,0,0,0,1.242742,2.6153028000000003,0.47518092360089237,495.0
46,14.2,5.1,32,21.5,7,SP98,,,0,0,0,0,8.823468199999999,1.3472772,6.549111199981711,35.91549295774647
47,16.0,4.9,25,21.5,8,SP98,,,0,0,0,0,9.941936,1.2944428000000001,7.6804753365695255,30.625000000000004
48,11.8,4.9,25,21.5,11,SP98,,,0,0,0,0,7.3321778,1.2944428000000001,5.664350560720025,41.52542372881356
49,27.3,4.7,36,21.5,10,SP98,,,0,0,0,0,16.9634283,1.2416084,13.66246257676736,17.216117216117215
50,11.8,5.1,29,21.5,5,SP98,,,0,1,0,0,7.3321778,1.3472772,5.442219166181986,43.220338983050844
51,10.6,4.9,63,21.5,6,SP98,,,0,0,0,0,6.5865326,1.2944428000000001,5.088314910477311,46.22641509433963
52,11.6,4.2,61,21.5,7,SP98,,,0,0,0,0,7.2079036,1.1095224000000001,6.496402055515056,36.206896551724135
53,13.1,6.1,46,21.5,6,SP98,,,0,1,0,0,8.1399601,1.6114492,5.051329014901618,46.56488549618321
54,6.1,6.4,28,21.5,8,SP98,,,0,0,0,0,3.7903631,1.6907008000000001,2.2418887481451475,104.91803278688525
55,153.5,4.9,82,21.5,3,SP98,,,0,1,0,0,95.3804485,1.2944428000000001,73.68456026021389,3.1921824104234533
56,11.8,4.9,24,21.5,7,SP98,,,0,0,0,0,7.3321778,1.2944428000000001,5.664350560720025,41.52542372881356
57,12.3,6.2,61,21.5,8,SP98,,,0,0,0,0,7.6428633,1.6378664,4.666353311845215,50.40650406504065
58,12.4,4.2,57,21.5,8,SP98,,,0,0,0,0,7.7050004,1.1095224000000001,6.944429783481612,33.87096774193549
59,12.3,5.7,52,21.5,8,SP98,,,0,1,0,0,7.6428633,1.5057804000000001,5.075682549726374,46.34146341463414
60,2.9,7.9,18,21.5,9,SP98,,,1,1,0,0,1.8019759,2.0869588,0.8634458428216215,272.4137931034483
61,2.1,12.2,23,21.5,9,SP98,,,0,0,0,0,1.3048791,3.2228984,0.40487751646158004,580.952380952381
62,9.8,5.8,24,21.5,6,SP98,,,0,0,0,0,6.0894358,1.5321976000000002,3.9743149317033257,59.183673469387756
63,6.8,5.3,26,21.5,6,SP98,,,0,0,0,0,4.2253228,1.4001116,3.0178471487558562,77.94117647058823
64,12.4,5.4,24,21.5,7,SP98,,,0,0,0,0,7.7050004,1.4265288000000003,5.401223164930143,43.54838709677419
65,12.4,4.7,57,21.5,8,SP98,,,0,0,0,0,7.7050004,1.2416084,6.205660657579314,37.903225806451616
66,11.8,4.6,41,21.5,6,SP98,,,0,0,0,0,7.3321778,1.2151912,6.033764727723506,38.983050847457626
67,12.3,5.4,55,21.5,8,SP98,,,0,0,0,0,7.6428633,1.4265288000000003,5.357664913600061,43.90243902439025
68,14.0,4.3,40,21.5,8,SP98,,,0,0,0,0,8.699194,1.1359396,7.658148373381825,30.71428571428571
69,11.8,4.5,37,21.5,4,SP98,,,1,0,0,0,7.3321778,1.188774,6.167848388339584,38.13559322033898
70,12.3,5.2,55,21.5,12,SP98,,,0,0,0,0,7.6428633,1.3736944000000002,5.563728948738525,42.27642276422764
71,2.0,6.2,20,21.5,10,SP98,,,0,0,0,0,1.242742,1.6378664,0.7587566360723927,310.0
72,13.9,5.1,29,21.5,6,SP98,,,0,0,0,0,8.637056900000001,1.3472772,6.4107496957567465,36.690647482014384
73,9.7,3.9,42,21.5,8,SP98,,,0,0,0,0,6.027298699999999,1.0302708,5.8502082171017555,40.20618556701031
74,11.6,5.0,25,21.5,6,SP98,,,0,0,0,0,7.2079036,1.3208600000000001,5.456977726632648,43.10344827586207
75,14.2,5.4,38,21.5,7,SP98,,,0,0,0,0,8.823468199999999,1.4265288000000003,6.185271688871614,38.02816901408451
76,11.8,4.5,39,21.5,6,SP98,,,0,0,0,0,7.3321778,1.188774,6.167848388339584,38.13559322033898
77,24.8,5.1,50,21.5,9,SP98,,,0,0,0,0,15.4100008,1.3472772,11.437884349263834,20.564516129032256
78,12.4,4.7,56,21.5,7,SP98,,,0,0,0,0,7.7050004,1.2416084,6.205660657579314,37.903225806451616
79,34.8,4.0,28,20.0,4,SP98,,,0,0,0,0,21.623710799999998,1.056688,20.46366647487243,11.49425287356322
80,14.2,5.4,36,20.0,6,SP98,,,0,0,0,0,8.823468199999999,1.4265288000000003,6.185271688871614,38.02816901408451
81,5.2,4.5,39,20.0,10,SP98,,,0,0,0,0,3.2311292000000003,1.188774,2.7180348829971046,86.53846153846153
82,10.5,3.6,42,20.0,10,SP98,37.7,SP98,0,0,0,0,6.5243955,0.9510192000000001,6.860424584487883,34.285714285714285
83,12.3,5.2,57,20.0,10,SP98,,,0,0,0,0,7.6428633,1.3736944000000002,5.563728948738525,42.27642276422764
84,11.8,4.9,25,20.0,11,SP98,,,0,0,0,0,7.3321778,1.2944428000000001,5.664350560720025,41.52542372881356
85,12.3,6.2,58,20.0,11,SP98,,,0,1,0,0,7.6428633,1.6378664,4.666353311845215,50.40650406504065
86,13.2,4.3,51,20.0,11,SP98,,,0,1,0,0,8.202097199999999,1.1359396,7.2205398949028625,32.57575757575758
87,13.0,5.0,45,20.0,11,SP98,,,0,1,0,0,8.077823,1.3208600000000001,6.115578486743485,38.46153846153847
88,12.9,5.1,32,20.0,11,SP98,,,0,0,0,0,8.015685900000001,1.3472772,5.949544681673528,39.53488372093023
89,13.9,5.6,22,20.0,8,SP98,,,0,0,0,0,8.637056900000001,1.4793632,5.8383613300641795,40.28776978417265
90,11.8,4.3,37,20.0,6,SP98,,,0,0,0,0,7.3321778,1.1359396,6.454725057564681,36.440677966101696
91,12.2,5.8,60,20.0,11,SP98,,,0,0,0,0,7.5807262,1.5321976000000002,4.947616547630671,47.54098360655738
92,12.5,4.0,51,20.0,13,SP98,,,0,0,0,0,7.7671375000000005,1.056688,7.350454911951305,32.0
93,12.4,4.7,43,,10,SP98,,,0,0,0,0,7.7050004,1.2416084,6.205660657579314,37.903225806451616
94,11.8,5.9,21,20.0,9,SP98,,,1,1,0,0,7.3321778,1.5586148000000002,4.704291143648835,50.0
95,11.8,5.3,52,,11,SP98,,,0,0,0,0,7.3321778,1.4001116,5.236852405193986,44.91525423728813
96,12.5,4.2,57,20.0,11,SP98,,,0,0,0,0,7.7671375000000005,1.1095224000000001,7.000433249477433,33.6
97,15.7,5.3,33,,9,SP98,,,0,0,0,0,9.7555247,1.4001116,6.967676505215727,33.75796178343949
98,12.9,5.7,35,,9,SP98,,,0,0,0,0,8.015685900000001,1.5057804000000001,5.323276820444734,44.18604651162791
99,6.4,4.4,37,,10,SP98,,,0,0,0,0,3.9767744,1.1623568000000002,3.421302649926425,68.75
100,5.3,4.1,34,,9,SP98,,,0,0,0,0,3.2932663,1.0831051999999999,3.040578422114491,77.35849056603773
101,26.2,5.8,71,21.0,8,SP98,,,1,1,0,0,16.2799202,1.5321976000000002,10.62520930720685,22.137404580152673
102,18.8,5.0,62,,9,SP98,,,0,1,0,0,11.681774800000001,1.3208600000000001,8.84406735005981,26.595744680851062
103,4.9,6.9,25,21.0,12,SP98,,,0,1,0,0,3.0447179,1.8227868000000003,1.6703642466579194,140.81632653061226
104,12.4,5.4,18,21.0,11,SP98,,,1,1,0,0,7.7050004,1.4265288000000003,5.401223164930143,43.54838709677419
105,22.9,5.3,45,20.5,7,SP98,,,0,0,0,0,14.2293959,1.4001116,10.163044074486633,23.144104803493452
106,162.7,5.5,75,23.0,1,SP98,45.0,SP98,0,0,0,0,101.0970617,1.452946,69.58074264287868,3.380454824830977
107,4.9,6.5,26,21.0,1,SP98,,,0,0,0,0,3.0447179,1.7171180000000001,1.7731558926060993,132.6530612244898
108,11.8,4.7,36,21.0,4,SP98,,,0,0,0,0,7.3321778,1.2416084,5.905386754793218,39.83050847457627
109,16.6,5.1,56,21.0,7,SP98,,,0,0,0,0,10.314758600000001,1.3472772,7.656003233781438,30.722891566265055
110,12.4,5.7,37,21.0,7,SP98,,,0,0,0,0,7.7050004,1.5057804000000001,5.116948261512768,45.96774193548387
111,15.9,5.4,25,21.0,7,SP98,,,0,0,0,0,9.8797989,1.4265288000000003,6.925761961483007,33.9622641509434
112,5.1,8.7,21,23.5,5,SP98,,,0,0,0,0,3.1689920999999996,2.2982964,1.3788439558970722,170.58823529411765
113,22.4,4.9,66,20.5,7,SP98,,,0,0,0,0,13.9187104,1.2944428000000001,10.752665471197336,21.875000000000004
114,31.1,4.7,42,20.5,7,SP98,,,0,0,0,0,19.3246381,1.2416084,15.564197294412635,15.112540192926044
115,4.9,6.3,27,20.5,3,SP98,,,0,0,0,0,3.0447179,1.6642836,1.8294465558634359,128.57142857142856
116,11.8,5.1,26,23.0,4,SP98,,,0,1,0,0,7.3321778,1.3472772,5.442219166181986,43.220338983050844
117,22.9,6.0,42,23.0,4,SP98,,,0,1,0,0,14.2293959,1.585032,8.97735559912986,26.200873362445414
118,12.4,4.6,38,23.0,1,SP98,,,0,0,1,0,7.7050004,1.2151912,6.34056632404843,37.096774193548384
119,12.9,5.8,40,23.0,4,SP98,,,0,0,0,0,8.015685900000001,1.5321976000000002,5.231496185609481,44.961240310077514
120,11.8,5.1,43,23.0,0,SP98,,,0,0,0,0,7.3321778,1.3472772,5.442219166181986,43.220338983050844
121,12.2,5.8,58,23.0,2,SP98,,,0,0,0,0,7.5807262,1.5321976000000002,4.947616547630671,47.54098360655738
122,24.8,4.6,55,23.0,3,SP98,,,0,0,0,0,15.4100008,1.2151912,12.68113264809686,18.548387096774192
123,14.2,5.6,24,23.0,8,SP98,,,0,0,0,0,8.823468199999999,1.4793632,5.964369128554772,39.436619718309856
124,11.8,4.6,38,23.0,0,SP98,,,0,0,1,0,7.3321778,1.2151912,6.033764727723506,38.983050847457626
125,12.2,6.3,57,23.0,0,SP98,,,0,0,1,0,7.5807262,1.6642836,4.554948567659983,51.63934426229508
126,24.7,5.5,56,25.0,1,SP98,,,0,0,0,0,15.3478637,1.452946,10.563271931647838,22.267206477732795
127,6.8,4.3,46,24.0,2,SP98,,,0,0,0,0,4.2253228,1.1359396,3.719672067071172,63.23529411764706
128,17.3,5.6,37,21.5,1,SP98,,,0,0,0,0,10.749718300000001,1.4793632,7.266449712957575,32.36994219653179
129,11.8,4.3,44,21.5,-3,SP98,,,0,0,0,0,7.3321778,1.1359396,6.454725057564681,36.440677966101696
130,15.9,5.7,46,21.5,5,SP98,,,0,0,0,0,9.8797989,1.5057804000000001,6.561248174036533,35.84905660377358
131,5.1,6.4,39,21.5,4,SP98,,,0,0,0,0,3.1689920999999996,1.6907008000000001,1.8743660025475823,125.4901960784314
132,16.1,4.5,33,21.5,6,SP98,,,0,0,0,0,10.004073100000001,1.188774,8.415454156971805,27.95031055900621
133,11.8,4.5,43,21.5,3,SP98,,,0,0,0,0,7.3321778,1.188774,6.167848388339584,38.13559322033898
134,4.2,6.0,26,21.5,5,SP98,,,0,0,0,0,2.6097582,1.585032,1.6465019002770922,142.85714285714286
135,17.4,5.1,30,21.5,5,SP98,,,0,0,0,0,10.811855399999999,1.3472772,8.024967245048012,29.31034482758621
136,23.5,6.0,25,21.5,5,SP98,,,0,1,0,0,14.6022185,1.585032,9.212570156312301,25.53191489361702
137,11.8,4.5,38,21.5,5,SP98,,,0,1,0,0,7.3321778,1.188774,6.167848388339584,38.13559322033898
138,12.3,6.1,61,21.5,10,SP98,,,0,1,0,0,7.6428633,1.6114492,4.742850907121366,49.59349593495934
139,16.1,5.4,24,21.5,7,E10,38.0,E10,0,1,0,0,10.004073100000001,1.4265288000000003,7.01287846414317,33.54037267080745
140,11.8,4.3,40,21.5,10,E10,,,0,1,0,0,7.3321778,1.1359396,6.454725057564681,36.440677966101696
141,12.3,5.4,58,21.5,13,E10,,,0,0,0,0,7.6428633,1.4265288000000003,5.357664913600061,43.90243902439025
142,12.4,4.3,49,21.5,17,E10,,,0,0,0,0,7.7050004,1.1359396,6.782931416423902,34.677419354838705
143,7.0,5.2,25,21.5,17,E10,,,0,0,0,0,4.349597,1.3736944000000002,3.166349808225177,74.28571428571429
144,11.8,4.1,37,21.5,10,E10,,,0,0,0,0,7.3321778,1.0831051999999999,6.769589694519056,34.7457627118644
145,20.1,4.4,41,21.5,18,E10,,,0,0,0,0,12.4895571,1.1623568000000002,10.745028634925179,21.890547263681594
146,20.8,4.5,45,21.5,10,E10,,,0,0,0,0,12.924516800000001,1.188774,10.872139531988418,21.634615384615383
147,1.7,10.8,14,21.5,10,E10,,,0,1,0,0,1.0563307,2.8530576000000005,0.3702451363056953,635.2941176470589
148,35.9,4.7,45,21.5,12,E10,,,0,0,0,0,22.3072189,1.2416084,17.9663885167014,13.091922005571032
149,36.9,4.8,52,21.5,5,E10,,,0,0,0,0,22.9285899,1.2680256,18.082119083400208,13.008130081300814
150,16.8,4.0,46,21.5,8,E10,,,0,0,0,0,10.4390328,1.056688,9.879011401662552,23.809523809523807
151,9.9,5.0,28,21.5,9,E10,,,0,0,0,0,6.151572900000001,1.3208600000000001,4.657248232212346,50.505050505050505
152,22.9,4.6,61,21.5,7,E10,,,0,1,0,0,14.2293959,1.2151912,11.7095942597346,20.087336244541483
153,17.3,5.0,61,21.5,6,E10,,,1,1,0,0,10.749718300000001,1.3208600000000001,8.138423678512485,28.90173410404624
154,11.8,4.3,37,21.5,7,E10,,,0,0,0,0,7.3321778,1.1359396,6.454725057564681,36.440677966101696
155,36.6,5.2,80,21.5,7,E10,,,0,1,0,0,22.742178600000003,1.3736944000000002,16.555486140148783,14.207650273224044
156,44.9,4.7,62,21.5,8,E10,,,0,0,0,0,27.899557899999998,1.2416084,22.470497058492835,10.46770601336303
157,11.8,4.2,34,21.5,9,E10,,,0,1,0,0,7.3321778,1.1095224000000001,6.608408987506696,35.59322033898305
158,21.6,5.3,44,21.5,9,E10,,,0,1,0,0,13.4216136,1.4001116,9.58610270781272,24.537037037037035
159,39.4,5.3,60,21.5,9,E10,,,0,1,0,0,24.4820174,1.4001116,17.485761420732462,13.451776649746192
160,5.1,8.1,39,21.5,4,E10,,,0,0,0,0,3.1689920999999996,2.1397932,1.480980545222781,158.82352941176472
161,26.6,4.8,38,21.5,7,E10,,,0,0,0,0,16.5284686,1.2680256,13.03480671052698,18.045112781954884
162,53.2,5.1,71,21.5,2,E10,,,0,0,0,0,33.0569372,1.3472772,24.536106749227258,9.586466165413533
163,18.9,4.4,53,21.5,2,E10,,,0,0,0,0,11.743911899999999,1.1623568000000002,10.103534388063972,23.280423280423285
164,43.5,5.0,80,21.5,3,E10,,,0,0,0,0,27.0296385,1.3208600000000001,20.46366647487243,11.494252873563218
165,6.1,6.3,26,21.5,5,E10,,,0,0,0,0,3.7903631,1.6642836,2.2774742838299913,103.27868852459017
166,16.4,4.8,49,21.5,5,E10,,,0,0,0,0,10.190484399999999,1.2680256,8.036497370400092,29.268292682926834
167,12.3,6.1,40,21.5,6,E10,,,0,0,0,0,7.6428633,1.6114492,4.742850907121366,49.59349593495934
168,21.1,4.6,36,21.5,8,E10,,,0,0,0,0,13.1109281,1.2151912,10.789189470759828,21.800947867298575
169,21.1,4.8,43,21.5,7,E10,,,0,0,0,0,13.1109281,1.2680256,10.339639909478167,22.748815165876778
170,22.7,4.7,55,21.5,6,E10,,,0,0,0,0,14.1051217,1.2416084,11.360362655407291,20.704845814977975
171,44.4,4.8,38,21.5,8,E10,38.3,E10,0,0,0,0,27.5888724,1.2680256,21.75734653937586,10.81081081081081
172,35.8,4.4,51,21.5,6,E10,,,0,0,0,0,22.245081799999998,1.1623568000000002,19.13791169802594,12.290502793296092
173,11.8,4.9,44,21.5,0,E10,,,0,0,0,0,7.3321778,1.2944428000000001,5.664350560720025,41.52542372881356
174,26.2,4.9,42,21.5,6,E10,,,0,0,0,0,16.2799202,1.2944428000000001,12.576778363632597,18.702290076335878
175,40.6,4.4,44,21.0,3,E10,,,0,0,0,0,25.227662600000002,1.1623568000000002,21.70388868547076,10.83743842364532
176,12.4,5.3,38,21.0,-5,E10,,,0,0,0,0,7.7050004,1.4001116,5.503133035966561,42.74193548387096
